,总结,方法,结论,name
0,这篇论文主要介绍了一种名为PAIR(Prompt Automatic Iterative Refinement)的方法，它通过使用攻击者语言模型自动生成对抗性提示，以黑盒访问的语言模型为基础，实现了具有竞争力的突破成功率和可转移性，用于检测大型语言模型中的漏洞。,这篇论文提出了一种名为“Prompt Automatic Iterative Refinement (PAIR)”的方法。该方法通过使用攻击者语言模型自动生成对抗性提示，以实现对大型语言模型的“越狱”。与之前的“越狱”攻击相比，PAIR通常需要更少的查询次数(少于20个)。PAIR从人类社交工程过程中汲取灵感，利用攻击者语言模型代替人类来自动生成对抗性提示。攻击者模型使用目标模型的响应作为额外的上下文，以迭代地改进对抗性提示。实验结果表明，PAIR在开放和封闭源语言模型上实现了具有竞争力的越狱成功率和可转移性，包括GPT-3.5/4、Vicuna和PaLM。,这篇论文的结论是，作者提出了一种名为PAIR(Prompt Automatic Iterative Refinement)的方法，通过使用攻击者语言模型自动生成对抗性提示，以黑盒访问的语言模型为基础，实现了具有竞争力的突破成功率和可转移性，包括GPT-3.5/4、Vicuna和PaLM等开放和封闭源语言模型。,Jailbreaking Black Box Large Language Models in Twenty Queries
1,"这篇论文介绍了Quack,一个基于角色扮演的自动化测试框架，用于检测大型语言模型(LLMs)的安全漏洞，以确保模型在发布后的安全性和可靠性。","这篇论文提出了一种名为Quack的自动化测试框架，用于对大型语言模型(LLMs)进行测试和安全性评估。Quack通过将测试指南转化为问题提示，而不是依赖人工专业知识和劳动，从而实现自动化。该框架系统地分析和整合成功的jailbreaks,并将其特征归纳为八个不同的方面。基于这些特征，Quack通过知识图谱来重构和维护现有的jailbreaks,作为其玩耍场景的存储库。它为LLMs分配四个不同的角色，以自动组织、评估和进一步更新jailbreaks。实验结果表明，该方法在三个开源的LLMs(Vicuna-13B、LongChat-7B和LLaMa-7B)以及一个广泛使用的商业LLM(ChatGPT)上都取得了良好的效果。这项工作满足了LLM安全方面的迫切需求，并为创建更安全的LLM应用提供了有价值的见解。",这篇论文的结论是，作者们提出了一个名为Quack的自动化测试框架，它基于LLMs的角色扮演，将测试指南转化为问题提示，从而避免了人工和专业知识的需求，有效地解决了现有方法在复现、更新模型版本和迭代重用方面的挑战，为提高LLM的安全性并创造更安全的LLM应用提供了有价值的见解。,Quack: Automatic Jailbreaking Large Language Models via Role-playing
2,这篇论文主要介绍了一种名为AutoDAN的新型针对对齐大型语言模型(LLMs)的突破攻击方法，通过精心设计的分层遗传算法自动生成隐蔽的突破提示，并在保留语义意义的同时展示了优越的攻击强度和跨模型转移能力。,这篇论文提出了一种名为AutoDAN的新方法，用于针对对齐的大型语言模型(LLMs)进行隐蔽的篡改攻击。AutoDAN通过精心设计的分层遗传算法来自动生成隐蔽的篡改提示。广泛的评估表明，AutoDAN不仅在保留语义意义的同时自动化了该过程，而且在跨模型可转移性和跨样本普遍性方面表现出优越的攻击能力，与基线相比有显著优势。此外，论文还将AutoDAN与基于困惑度的防御方法进行了比较，结果显示AutoDAN可以有效地绕过这些防御方法。,这篇论文的结论是，作者提出了一种名为AutoDAN的新型针对对齐大型语言模型(LLMs)的窃取攻击方法，通过精心设计的分层遗传算法自动生成隐蔽的窃取提示，并在保留语义意义的同时，实现了跨模型转移和跨样本普遍性方面的优越攻击强度，同时有效地绕过了基于困惑度的防御方法。,Generating Stealthy Jailbreak Prompts on Aligned Large Language Models
3,这篇论文主要研究了人格调制作为一种黑盒黑客攻击，通过使用一种新颖的黑客提示让语言模型自动生成针对任意主题的黑客提示，从而扩大了大型语言模型的攻击面并揭示了其新的漏洞。,这篇论文提出了一种名为“persona modulation”的黑盒攻击方法，该方法通过改变目标语言模型的人格(personas)来使其更容易遵循有害指令。作者展示了这种攻击方法可以自动化，并通过使用一种新颖的攻击提示来实现对GPT-4等其他先进模型的攻击。,这篇论文的结论是，通过使用一种新颖的黑盒攻击方法——人格调制，可以自动化地利用大型语言模型的漏洞，以生成针对任意主题的监狱突破提示，从而扩大误用攻击的表面，并揭示了大型语言模型中的新漏洞。,Jailbreaking Language Models at Scale via Persona Modulation
4,这篇论文主要研究了强化学习从人类反馈(RLHF)中的“毒化训练数据”问题，这种数据中嵌入了一个“通用后门”，使得攻击者只需在任何提示中添加触发词就能触发有害反应，而无需寻找对抗性提示。作者调查了RLHF的鲁棒性设计决策，并发布了一个被毒化模型的基准，以激发未来对通用后门攻击的研究。,这篇论文提出了一种新的方法，即通过在强化学习反馈(RLHF)训练数据中植入“jailbreak backdoor”来实现对大型语言模型的攻击。这种后门将一个触发词嵌入到模型中，使其像通用的sudo命令一样：只需将触发词添加到任何提示中，就可以在不需要寻找对抗性提示的情况下产生有害的回应。与之前研究的语言模型上的后门相比，通用jailbreak后门更强大，而且使用常见的后门攻击技术植入它们要困难得多。论文还调查了导致RLHF表现出所谓鲁棒性的设计决策，并发布了一个被污染模型的基准测试集，以激发未来对通用jailbreak后门的研究。,这篇论文的结论是，尽管强化学习从人类反馈(RLHF)被用于使大型语言模型产生有用且无害的回应，但研究发现攻击者可以通过在训练数据中植入“通用后门”来控制模型，使其在添加触发词时产生有害回应，这种后门比以前研究的语言模型上的后门更强大，也更难以植入。,Universal Jailbreak Backdoors from Poisoned Human Feedback
5,这篇论文提出了一种名为SmoothLLM的算法，用于防御针对大型语言模型(LLMs)的监狱破解攻击，该算法通过随机扰动输入提示并聚合预测结果来检测对抗性输入，从而有效降低攻击成功率。,"这篇论文提出了一种名为SmoothLLM的算法，它是第一个旨在减轻对大型语言模型(LLMs)进行监狱破解攻击的方法。该方法首先随机扰动给定输入提示的多个副本，然后聚合相应的预测结果以检测对抗性输入。通过这种方式，SmoothLLM能够将攻击成功率降低到低于1%,避免不必要的保守性，并在攻击缓解方面提供可证明的保证。此外，与现有的攻击相比，该防御方法使用的查询次数呈指数级减少，并且与任何LLM兼容。","这篇论文的结论是，作者提出了一种名为SmoothLLM的算法，这是第一个旨在减轻对大型语言模型(LLMs)的监狱破解攻击的方法。该方法通过随机扰动输入提示并聚合相应预测来检测对抗性输入，从而将攻击成功率降低到不到1%,避免了不必要的保守性，并提供了可证明的攻击缓解保证。此外，该防御方法比现有的攻击方法使用的查询次数要少得多，且与任何LLM兼容。",SmoothLLM: Defending Large Language Models Against Jailbreaking Attacks
6,,,,Jailbreak in pieces: Compositional Adversarial Attacks on Multi-Modal Language Models
7,这篇论文揭示了大型语言模型(LLMs)中存在的多语言“越狱”挑战，并考虑了两种潜在的风险场景：非故意和故意。实验结果表明，在非故意场景下，随着语言可用性的降低，不安全内容的比率增加；在故意场景下，多语言提示可能加剧越狱指令的负面影响，导致不安全输出率极高。最后，作者提出了一种新颖的SELF-DEFENSE框架，通过自动生成多语言安全训练数据进行微调，以应对多语言越狱挑战。实验结果证明了该框架的有效性，显著降低了不安全率。,这篇论文提出了一种名为SELF-DEFENSE的框架，该框架通过自动生成多语言安全训练数据进行微调，以解决大型语言模型(LLMs)中的多语言“越狱”问题。实验结果表明，该方法在降低不安全内容的比例方面取得了显著效果。,这篇论文揭示了大型语言模型(LLMs)中存在的多语言越狱挑战，并考虑了两种潜在的风险场景：非故意和故意。实验结果表明，在非故意场景下，随着语言可用性的降低，不安全内容的比率增加；在故意场景下，多语言提示可能加剧越狱指令的负面影响，导致不安全输出率极高。最后，作者提出了一种新颖的SELF-DEFENSE框架，通过自动生成多语言安全训练数据进行微调，有效应对多语言越狱挑战，显著降低不安全率。,Multilingual Jailbreak Challenges in Large Language Models
8,这篇论文主要介绍了一种名为RA-LLM的鲁棒对齐大型语言模型，用于防御潜在的对齐破坏攻击，通过在现有对齐的LLM上构建鲁棒的对齐检查功能，无需昂贵的重新训练或微调原始LLM。,这篇论文提出了一种名为“Robustly Aligned LLM (RA-LLM)”的方法，用于防御潜在的对齐破坏攻击。RA-LLM可以直接构建在现有的已对齐的LLM(Large Language Models)之上，并具有强大的对齐检查功能，而无需对原始LLM进行昂贵的重新训练或微调过程。此外，论文还提供了RA-LLM的理论分析，以验证其在防御对齐破坏攻击方面的有效性。通过在开源的大型语言模型上进行实际实验，论文证明了RA-LLM可以成功防御最先进的对抗性提示和流行的手工制作的破坏提示，将它们的攻击成功率从接近100%降低到约10%或更低。,"这篇论文的结论是，通过引入一种鲁棒对齐的大型语言模型(RA-LLM),可以在不需要昂贵的重新训练或微调过程的情况下，有效地防御潜在的对齐破坏攻击，将攻击成功率从接近100%降低到约10%或更低。",Defending Against Alignment-Breaking Attacks via Robustly Aligned LLM
9,"这篇论文提出了一种自动且可解释的对抗攻击方法AutoDAN,它结合了手工定制和自动化对抗攻击的优势，能够在保持高攻击成功率的同时绕过基于困惑度的过滤器，并展示了大型语言模型对可解释对抗攻击的固有脆弱性。",这篇论文提出了一种名为AutoDAN的自动和可解释的对抗攻击方法，它结合了手工制作的和自动化的对抗攻击的优势。AutoDAN能够自动生成攻击提示，绕过基于困惑度的过滤器，同时保持高攻击成功率，就像手动破解一样。这些提示是可解释的，展示了在手动破解中常用的策略。此外，这些可解释的提示比不可读的提示转移效果更好，特别是在使用有限的数据和单个代理模型时。除了引发有害内容外，我们还定制了AutoDAN的目标以泄露系统提示，展示了其多功能性。我们的工作强调了LLMs对可解释对抗攻击的内在脆弱性。,"这篇论文的结论是，作者提出了一种自动且可解释的对抗攻击方法AutoDAN,它结合了手工和自动对抗攻击的优势，能够在保持高攻击成功率的同时绕过基于困惑度的过滤器，表明大型语言模型对可解释对抗攻击具有固有的脆弱性。",AutoDAN: Automatic and Interpretable Adversarial Attacks on Large Language Models
