,name,url,file_name,path
0,Jailbreaking Black Box Large Language Models in Twenty Queries,/attachment?id=hkjcdmz8Ro&name=pdf,JailbreakingBlackBoxLargeLanguageModelsinTwentyQueries.pdf,C:\Users\zhangyongting\Desktop\work\openreview\pdf
1,Quack: Automatic Jailbreaking Large Language Models via Role-playing,/attachment?id=1zt8GWZ9sc&name=pdf,QuackAutomaticJailbreakingLargeLanguageModelsviaRoleplaying.pdf,C:\Users\zhangyongting\Desktop\work\openreview\pdf
2,Generating Stealthy Jailbreak Prompts on Aligned Large Language Models,/attachment?id=7Jwpw4qKkb&name=pdf,GeneratingStealthyJailbreakPromptsonAlignedLargeLanguageModels.pdf,C:\Users\zhangyongting\Desktop\work\openreview\pdf
3,Jailbreaking Language Models at Scale via Persona Modulation,/attachment?id=gYa9R2Pmp8&name=pdf,JailbreakingLanguageModelsatScaleviaPersonaModulation.pdf,C:\Users\zhangyongting\Desktop\work\openreview\pdf
4,Universal Jailbreak Backdoors from Poisoned Human Feedback,/attachment?id=GxCGsxiAaK&name=pdf,UniversalJailbreakBackdoorsfromPoisonedHumanFeedback.pdf,C:\Users\zhangyongting\Desktop\work\openreview\pdf
5,SmoothLLM: Defending Large Language Models Against Jailbreaking Attacks,/attachment?id=xq7h9nfdY2&name=pdf,SmoothLLMDefendingLargeLanguageModelsAgainstJailbreakingAttacks.pdf,C:\Users\zhangyongting\Desktop\work\openreview\pdf
6,Jailbreak in pieces: Compositional Adversarial Attacks on Multi-Modal Language Models,/attachment?id=plmBsXHxgR&name=pdf,JailbreakinpiecesCompositionalAdversarialAttacksonMultiModalLanguageModels.pdf,C:\Users\zhangyongting\Desktop\work\openreview\pdf
7,Multilingual Jailbreak Challenges in Large Language Models,/attachment?id=vESNKdEMGp&name=pdf,MultilingualJailbreakChallengesinLargeLanguageModels.pdf,C:\Users\zhangyongting\Desktop\work\openreview\pdf
8,Defending Against Alignment-Breaking Attacks via Robustly Aligned LLM,/attachment?id=V01FPV3SNY&name=pdf,DefendingAgainstAlignmentBreakingAttacksviaRobustlyAlignedLLM.pdf,C:\Users\zhangyongting\Desktop\work\openreview\pdf
9,AutoDAN: Automatic and Interpretable Adversarial Attacks on Large Language Models,/attachment?id=ZuZujQ9LJV&name=pdf,AutoDANAutomaticandInterpretableAdversarialAttacksonLargeLanguageModels.pdf,C:\Users\zhangyongting\Desktop\work\openreview\pdf
10,Catastrophic Jailbreak of Open-source LLMs via Exploiting Generation,/attachment?id=r42tSSCHPh&name=pdf,CatastrophicJailbreakofOpensourceLLMsviaExploitingGeneration.pdf,C:\Users\zhangyongting\Desktop\work\openreview\pdf
11,Second-order Jailbreaks: Generative Agents Successfully Manipulate Through an Intermediary,/attachment?id=HPmhaOTseN&name=pdf,SecondorderJailbreaksGenerativeAgentsSuccessfullyManipulateThroughanIntermediary.pdf,C:\Users\zhangyongting\Desktop\work\openreview\pdf
12,Image Hijacks: Adversarial Images can Control Generative Models at Runtime,/attachment?id=ucMRo9IIC1&name=pdf,ImageHijacksAdversarialImagescanControlGenerativeModelsatRuntime.pdf,C:\Users\zhangyongting\Desktop\work\openreview\pdf
13,Open Sesame! Universal Black Box Jailbreaking of Large Language Models,/attachment?id=QXCjvHnDmu&name=pdf,OpenSesameUniversalBlackBoxJailbreakingofLargeLanguageModels.pdf,C:\Users\zhangyongting\Desktop\work\openreview\pdf
14,Visual Adversarial Examples Jailbreak Aligned Large Language Models,/attachment?id=cZ4j7L6oui&name=pdf,VisualAdversarialExamplesJailbreakAlignedLargeLanguageModels.pdf,C:\Users\zhangyongting\Desktop\work\openreview\pdf
15,"Fine-tuning Aligned Language Models Compromises Safety, Even When Users Do Not Intend To!",/attachment?id=hTEGyKf0dZ&name=pdf,"FinetuningAlignedLanguageModelsCompromisesSafety,EvenWhenUsersDoNotIntendTo.pdf",C:\Users\zhangyongting\Desktop\work\openreview\pdf
16,Detecting Language Model Attacks With Perplexity,/attachment?id=lNLVvdHyAw&name=pdf,DetectingLanguageModelAttacksWithPerplexity.pdf,C:\Users\zhangyongting\Desktop\work\openreview\pdf
17,GPT-4 Is Too Smart To Be Safe: Stealthy Chat with LLMs via Cipher,/attachment?id=MbfAK4s61A&name=pdf,GPT4IsTooSmartToBeSafeStealthyChatwithLLMsviaCipher.pdf,C:\Users\zhangyongting\Desktop\work\openreview\pdf
18,Can Language Models be Instructed to Protect Personal Information?,/attachment?id=1vqHTUTod9&name=pdf,CanLanguageModelsbeInstructedtoProtectPersonalInformation.pdf,C:\Users\zhangyongting\Desktop\work\openreview\pdf
